Sub-component|Component Function|Failure Mode & Mechanism|Failure Cause|Random / Time dependent|BP Oreda MTTF (Y)|Detectable by Inspection?|Type of Inspection|
Chemical Injection Piping|Containment & transport of chemicals|Loss of containment due to Design/Material/Manufacturing defects|Support Failure; Design, material, construction defects; Weld failure|R.|3077.4|Lagging|ROV Inspection|
Chemical Injection Piping|Containment & transport of chemicals|Loss of Containment due to External Corrosion|Coating Damage; CP System Failure|R.|3077.4|Leading|ROV Inspection|
Chemical Injection Piping|Containment & transport of chemicals|Loss of Containment due to Structural Failure|Excessive relative soil/structure displacement; Inadequate Design; Excessive loading; Fatigue|R.|3077.4|Lagging|ROV Inspection|
Chemical Injection Piping|Containment & transport of chemicals|Loss of Function due to Blockage|Fluid contamination|R.|3077.4|Not Detectable||
Check Valve|Allows fluid flow in only one direction|Loss of Function due to Failure to Open on Demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Incorrect Operation|R.|2360|Not Detectable||
Check Valve|Allows fluid flow in only one direction|Loss of Function due to Failure to Close on Demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Fatigue; Impact|R.|2360|Not Detectable||
Check Valve|Allows fluid flow in only one direction|Loss of Containment due to Seal failure|Operation outside design Temperature/Pressure; Fatigue; Erosion; Material Defect|R.|2360|Lagging|ROV Inspection|
Chemical Injection Coupling|Connection between chemical injection sections|Loss of Containment due to Leakage across couplers|Debris (sand, calcium carbonate); Hydro Quad connectors misaligned/damaged; Corrosion; Structural damage|R.|8426|Lagging|ROV Inspection|
Chemical Injection Coupling|Connection between chemical injection sections|Loss of Containment due to Structural Failure|Excessive relative soil/structure displacement; Inadequate Design; Excessive loading; Fatigue|R.|8426|Lagging|ROV Inspection|
Hydraulic Coupling|Connection between hydraulic sections|Loss of Containment due to Leakage across couplers|Debris (sand, calcium carbonate); Hydro Quad connectors misaligned/damaged; Corrosion; Structural damage|R.|8426|Lagging|ROV Inspection|
Actuated Process Valve|Flow control (on/off) |Loss of Function due to Failure to Open on demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Incorrect Operation|R.|1193.6|Not Detectable||
Actuated Process Valve|Flow control (on/off) |Loss of Function due to Failure to Close on demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Fatigue; Impact|R.|1193.6|Not Detectable||
Actuated Process Valve|Flow control (on/off) |Loss of Function due to Blockage|Build up of debris; Hydrate formation; Wax formation; Fluid contamination|R.|149.2|Not Detectable||
Actuated Process Valve|Flow control (on/off) |Loss of Containment due to Internal Leakage|Internal failure; Stem broken; Galling; Loss of hydraulic pressure|R.|596.8|Not Detectable||
Actuated Process Valve|Flow control (on/off) |Loss of Containment due to External Leakage|Failure of bonnet; Stem seals assembly; Failure of Body; Bonnet connection gasket; Flange failure (bolted connection); External impact; Material failure|R.|16558|Lagging|ROV Inspection|
Actuated Process Valve|Flow control (on/off) |Loss of Function due to Mechanical Failure|Mechanical failure of ROV drive/interface|R.|16558|Not Detectable||
Hot Stab|ROV Connector for Hydraulic and Chemical lines and for Monitoring Systems|Loss of Function due to Corrosion|Pitting|R.|2708.2|Leading|ROV Inspection|
Hot Stab|ROV Connector for Hydraulic and Chemical lines and for Monitoring Systems|Loss of Containment due to Seal failure|Cracking|R.|2708.2|Leading|ROV Inspection|
Hot Stab|ROV Connector for Hydraulic and Chemical lines and for Monitoring Systems|Loss of Containment due to Impact|Anchor Damage; Dropped Objects; Trawling/Fishing; Accidental Damage; Seabed Movement; ROV Impact|R.|2708.2|Leading|ROV Inspection|
ROV Activated Valve|Flow control (on/off) |Loss of Function due to Failure to Open on demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Incorrect Operation|R.|11434|Not Detectable||
ROV Activated Valve|Flow control (on/off) |Loss of Function due to Failure to Close on demand|Valve blocked by debris; Valve stuck; Internal mechanism failure; Fatigue; Impact|R.|11434|Not Detectable||
ROV Activated Valve|Flow control (on/off) |Loss of Function due to Blockage|Build up of debris; Hydrate formation; Wax formation; Fluid contamination|R.|11434|Not Detectable||
ROV Activated Valve|Flow control (on/off) |Loss of Function due to Failure of ROV drive/interface|Mechanical failure of ROV drive|R.|11434|Not Detectable||
ROV Activated Valve|Flow control (on/off) |Loss of Function due to Internal Failure|Material failure; Erosion/Corrosion|R.|11434|Not Detectable||
ROV Activated Valve|Flow control (on/off) |Loss of Containment due to External Failure|Failure of bonnet; Flange failure (Bolted connection)|R.|11434|Lagging|ROV Inspection|
Hydraulic piping|Transports hydraulic fluid|Loss of Containment due to Impact|Anchor Damage; Dropped Objects; Trawling/Fishing; Accidental Damage; Seabed Movement; ROV Impact|R.|3077.4|Lagging|ROV Inspection|
Hydraulic piping|Transports hydraulic fluid|Loss of Containment due to External Corrosion|Coating Damage; CP System Failure|R.|3077.4|Leading|ROV Inspection|
Hydraulic piping|Transports hydraulic fluid|Loss of Containment due to Design/Material/Manufacturing Defects|Support Failure; Design, material, construction defects; Weld failure|R.|3077.4|Lagging|ROV Inspection|
Hydraulic piping|Transports hydraulic fluid|Loss of Function due to Blockage|Build up of debris; Fluid contamination|R.|3077.4|Not Detectable||
Subsea Distribution Module|Distribute Hydraulic, Chemicals, Electrics and Comms to the trees|Loss of Containment due to Leakage|Fitting Failure; Component Failure|R.|786|Lagging|ROV Inspection|
Subsea Distribution Module|Distribute Hydraulic, Chemicals, Electrics and Comms to the trees|Loss of Containment due to Blockage|Water Ingress; Connector Failure|R.|786|Not Detectable||
Static Hydraulic Core|Containment and transport of hydraulic fluids along an umbilical|Loss of Containment due to Leakage|Seal Failure|R.|864.7|Lagging|ROV Inspection|
Static Hydraulic Core|Containment and transport of hydraulic fluids along an umbilical|Loss of Containment due to External Corrosion|Coating Damage; CP System Failure|T.D.|864.7|Lagging|ROV Inspection|
